productcategory,productbrand,productprice,customerage,customergender,purchasefrequency,customersatisfaction,purchaseintent
1,4,212.4708192266324,26,0,12,4,0
1,2,871.6422299480043,44,0,1,3,0
0,0,2080.64678076346,28,1,8,1,0
2,3,2845.2441991103374,38,0,5,5,1
4,2,317.93058056559727,37,0,16,5,1
3,2,987.7486682951176,48,0,15,1,0
2,3,2933.940939131546,56,1,9,3,1
2,1,2114.171635630052,45,1,9,4,1
4,0,832.7405652610566,58,1,12,2,1
2,0,1537.7012502195869,49,1,16,3,1
4,1,2754.070360195159,18,0,16,1,0
0,0,2944.349719077308,64,1,5,4,1
4,4,1258.3656090062182,67,1,11,2,1
4,2,2954.4560880920158,42,0,3,4,1
3,2,2672.726326958191,46,0,11,1,0
2,2,1327.1761766006748,32,1,7,3,1
1,3,2644.5010965229158,63,1,13,4,1
1,0,2164.8217850424835,66,0,10,4,1
4,4,2286.6580409923854,22,0,8,2,0
3,3,2163.4482026202622,32,1,15,5,1
3,4,579.4546464243028,65,0,7,4,1
4,2,2226.449371814799,26,0,18,2,0
4,3,164.28491065316658,36,0,14,5,1
3,3,635.7597303643021,36,1,4,5,1
2,0,1076.352944191768,53,0,5,3,0
3,2,2201.0610364051254,43,1,4,3,1
4,0,1769.973661430872,22,1,10,5,1
4,4,2891.1521367715764,26,0,11,1,0
0,0,1401.5989182680555,23,1,9,2,0
3,1,2870.3513768682305,46,0,1,4,1
3,3,341.7838866468724,35,0,2,1,0
2,0,577.8695091563992,30,0,3,3,0
4,2,733.8069600847341,40,0,6,5,1
2,2,2809.880958945502,33,0,1,4,1
2,3,1535.0984159491247,51,1,14,3,1
3,3,1093.8130082689972,60,0,16,3,0
2,4,531.4775157693953,41,1,9,5,1
1,1,1384.9228940313974,62,1,1,4,1
4,1,2633.036887605668,41,0,18,4,1
0,0,454.0208510252736,25,0,5,5,0
0,2,1719.4252239490158,52,0,5,5,1
0,2,2284.318950930748,32,0,19,4,1
2,1,1479.278777430727,30,1,10,2,0
4,0,2587.227166053436,31,0,19,4,1
0,4,1127.5707205054398,41,1,15,1,1
3,4,2344.666863484998,64,1,1,1,1
3,2,556.2226526323275,39,1,12,1,1
2,1,323.3957707352719,52,1,3,3,1
0,3,515.8590668384375,26,0,12,5,0
1,4,437.08699216626087,65,1,2,1,1
1,0,2171.236198453002,54,0,10,3,0
3,0,1091.439452809592,25,0,15,5,0
1,4,734.363232323557,56,1,4,4,1
4,3,1736.803304810335,48,0,9,1,0
1,4,620.7448653029865,28,0,8,5,0
2,4,2028.5582430468205,67,0,9,3,0
4,0,1471.250691784672,65,1,15,3,1
0,1,1094.5365051026838,44,0,19,2,0
4,0,2384.291839430712,21,0,1,2,0
1,1,1000.5749747733132,55,1,1,1,1
0,4,1635.6038008505216,27,0,4,5,0
2,3,226.80119949887256,39,0,7,4,1
3,1,797.4873951815101,59,1,2,3,1
1,2,1020.7254041848116,60,0,17,4,1
1,1,1715.6857199234053,44,0,1,3,0
0,0,1242.4555603130384,55,1,6,5,1
2,0,719.3470369446319,19,0,7,3,0
4,2,2925.4238291383303,21,1,7,4,1
1,0,1011.1420800546886,30,1,12,3,0
1,0,2680.9812970288217,56,0,10,1,0
1,4,2782.2190558827933,69,0,10,2,0
4,3,837.2300980061501,46,1,4,2,1
3,3,1404.1629594318758,66,0,5,3,0
2,4,2410.6694201053565,69,1,15,4,1
0,0,2981.197659838742,22,0,17,2,0
3,4,2452.1750705047143,67,1,13,1,1
1,4,2398.16986345564,39,0,19,2,0
1,2,1588.693467609931,52,0,5,2,0
3,4,846.7997081075882,27,1,11,3,0
0,4,1295.733325676439,21,0,16,5,0
4,0,2131.963240727431,64,0,17,5,1
2,4,1251.6499058755714,46,0,11,4,1
4,3,2733.2737581598326,34,1,12,5,1
1,2,2643.8550986190385,32,0,19,2,0
0,4,1449.1795957356278,22,0,6,5,0
1,3,797.0795100425757,59,0,15,2,0
3,4,1444.0122298830534,56,0,5,3,0
0,2,1415.001693911081,59,1,8,1,1
0,0,1819.690754537209,34,0,17,1,0
4,1,694.5149591215014,55,1,14,2,1
2,1,957.2925567070772,40,0,6,1,0
3,4,387.0918192082975,43,0,7,3,0
3,4,1501.2778356947406,33,1,4,2,1
1,0,683.9038107925371,30,0,12,1,0
1,1,2931.0834021741525,21,0,13,5,0
4,0,570.317658656539,41,0,16,4,1
0,0,2865.4370226224423,52,1,12,5,1
3,2,2854.3091903365616,66,0,5,4,1
3,1,1482.326099044872,42,1,4,3,1
2,3,2722.7276960337285,34,1,17,3,1
0,0,1235.1856963071812,53,0,10,5,1
3,3,2270.399226223405,53,0,15,2,0
2,4,2499.5062200601387,63,0,4,2,0
1,3,2090.3624492690296,43,0,6,5,1
2,2,1840.5227369422607,65,0,4,3,0
0,2,2561.613554745391,65,1,12,2,1
1,0,1975.3079661449,45,0,13,2,0
4,1,1191.6200341683486,55,0,18,3,0
0,1,1432.6837877124797,31,0,5,1,0
1,2,1426.383292651398,67,0,18,3,0
4,0,125.13174074205396,62,1,6,3,1
0,3,1549.946977960848,51,0,17,1,0
0,1,2862.362635299917,24,1,18,3,0
0,0,2682.9674184446585,55,1,5,3,1
2,0,392.656198653146,69,0,1,1,0
1,4,466.8828583434725,26,0,9,4,0
3,0,2281.752827250174,52,1,2,5,1
3,1,802.994542592872,39,0,3,3,0
2,0,1205.6888085135715,28,1,4,1,0
3,0,1843.2395958406985,42,0,11,3,0
1,0,2240.493037673051,64,1,12,3,1
1,0,512.2484656367743,18,0,5,2,0
4,4,1927.1055634926656,44,0,19,3,0
1,4,299.3678881099472,51,1,5,5,1
1,3,2528.7240351945884,36,1,4,3,1
4,1,428.6653499133401,64,0,11,3,0
4,4,2860.794022954298,58,0,12,3,0
3,1,792.9396003509861,26,1,6,5,1
4,0,2148.634933448697,32,0,2,1,0
1,1,899.4283654118261,56,1,5,3,1
0,2,2769.49105733623,39,1,18,2,1
4,0,176.95856740060395,53,1,14,1,1
1,1,2889.720016803457,37,0,9,3,0
1,1,2048.025517518628,45,0,18,2,0
4,4,2163.9246327168694,40,0,18,5,1
3,4,2283.4083459786607,54,1,18,4,1
3,0,1636.7352440429977,36,1,13,4,1
2,0,980.2040113470948,22,1,11,2,0
1,0,2812.9501222609474,55,0,14,1,0
0,2,1452.6092072110555,32,0,13,1,0
2,4,2995.1840716402457,27,0,10,5,0
1,3,801.6943726218501,66,1,12,3,1
4,3,1232.6756515159786,44,1,17,4,1
0,4,2603.9436622001663,68,0,1,2,0
0,4,2308.452315260574,48,1,5,5,1
0,2,2620.664800595862,25,0,13,3,0
4,3,1358.5104565151623,64,0,6,1,0
1,4,1512.1892546345814,44,0,14,3,0
3,0,556.901297722497,21,0,6,5,0
2,0,666.1665853849148,58,1,19,3,1
0,0,1270.2163951925131,19,1,10,3,0
2,0,1470.652921758509,27,1,18,4,1
4,3,460.9567536774574,43,0,5,4,1
4,1,2424.6161804982344,39,0,8,2,0
1,1,1517.3883217303814,21,1,15,2,0
0,0,2662.412319983414,44,1,15,3,1
1,4,165.61379311235754,21,0,5,1,0
2,1,1187.0079559935364,45,1,9,4,1
1,1,186.4137637565818,22,0,17,5,0
3,1,2346.552498913405,60,1,6,3,1
1,3,2178.320863268208,21,1,8,4,1
4,4,247.4030439786393,23,1,3,3,0
0,1,1882.5610679868648,25,0,13,3,0
2,0,2174.538958157037,18,0,8,5,0
0,0,1466.5903607532412,46,1,14,5,1
0,4,2044.3219631878324,53,1,8,5,1
1,1,999.095790700928,59,0,16,2,0
4,4,1875.2897703831864,69,0,16,3,0
4,3,2618.942600413101,22,1,9,5,1
2,3,180.77730808896496,28,1,1,3,0
4,3,602.2209044953497,58,0,14,5,1
1,3,1414.7892861352316,40,0,19,4,1
3,4,2410.016467518948,53,1,6,3,1
4,4,2660.117835813713,18,0,18,1,0
2,2,2571.8684975485025,65,1,7,4,1
2,3,1347.2331050967205,30,1,19,1,0
3,0,2221.734839544209,20,0,13,4,0
3,1,244.5110272183492,34,1,1,3,1
1,0,1785.347783988366,42,1,5,1,1
3,2,2305.5371697384085,62,0,9,2,0
4,0,1451.599238468369,59,0,12,5,1
3,0,1340.0844302028863,56,0,11,1,0
1,0,520.3995250394958,21,1,6,2,0
0,2,1208.4793140064955,32,1,4,5,1
3,3,1391.4221629197796,28,0,11,1,0
4,4,821.3119371230413,31,1,3,1,1
2,4,1230.373445720043,52,1,14,4,1
2,1,1171.367733594533,62,1,1,3,1
2,2,1070.145477419298,56,0,14,4,1
4,4,712.0471683011558,67,1,5,3,1
2,2,781.886564502644,62,0,3,1,0
2,2,2529.8805269823583,63,0,17,5,1
0,4,800.2483339491713,65,1,12,5,1
3,3,2497.716786949346,35,1,17,3,1
2,4,2849.568041959067,46,1,19,5,1
2,4,2011.1183371096745,46,1,2,3,1
2,2,260.5094216794838,23,0,18,3,0
1,3,104.23841005214648,62,0,13,4,1
1,4,2960.117384346393,41,1,4,4,1
1,3,1188.4955742682482,27,0,15,2,0
3,1,2067.02624207416,34,0,7,3,0
0,3,2566.347326843057,44,1,3,1,1
0,0,2187.1067177631267,32,0,8,3,0
2,3,654.7634839152452,21,0,16,1,0
1,2,1796.3245732751122,46,1,6,1,1
0,2,161.50169769903027,19,0,14,2,0
2,1,2670.974583891564,53,0,2,4,1
0,2,356.41206667911723,35,1,2,1,1
0,0,1989.509738319134,25,0,5,1,0
3,4,2503.1762021740165,23,0,9,5,0
3,1,1818.6329984492452,34,1,6,5,1
1,0,2599.970062887257,55,0,6,1,0
2,3,2675.7577631038207,60,1,13,1,1
4,4,1035.7096656998192,30,1,11,2,0
3,0,2318.452351868287,43,1,5,3,1
1,2,1365.337736706429,39,1,5,3,1
0,4,2748.982537878234,36,1,9,3,1
3,2,1119.0857759467535,60,0,8,2,0
4,0,1450.8281060693994,69,1,12,5,1
2,4,634.8804531183231,26,1,15,5,1
0,2,2749.0608344432744,35,0,15,2,0
3,2,1210.8639951427049,19,1,5,3,0
4,4,1319.2637111122624,69,1,19,3,1
1,1,1235.7389872500105,65,1,10,5,1
3,4,2627.225198847367,33,0,9,1,0
1,0,1028.6594304285156,56,0,15,4,1
3,1,1310.2036695338472,38,1,18,3,1
4,4,1379.9153450276688,18,1,14,5,1
2,1,894.3033884862333,58,0,12,4,1
2,4,1202.055856017019,62,1,5,2,1
2,0,2031.5312381842696,32,1,7,1,1
4,0,933.4928939001294,41,1,5,4,1
0,0,2394.1614550321574,61,0,18,4,1
2,2,2545.7796969133565,47,0,2,2,0
0,0,874.3829884237855,51,0,18,2,0
0,2,1693.3546328676205,37,0,14,2,0
2,2,1975.8714396953253,55,0,1,1,0
1,2,705.4745677946532,56,1,7,5,1
1,4,760.4162599608975,66,0,14,3,0
4,3,1753.7362284467504,30,1,11,2,0
2,3,1504.3472128074577,18,1,12,2,0
4,1,2586.88737512466,25,1,17,1,0
1,1,844.9351862739503,40,1,5,1,1
1,1,1509.4329408333483,53,1,2,2,1
4,4,907.6865147942964,36,1,16,2,1
1,4,2033.3110337494363,60,0,16,4,1
2,0,434.33100513328856,63,0,17,2,0
2,3,2396.814533366559,48,1,6,4,1
1,4,1061.8551308925812,22,0,12,3,0
0,3,1255.5318834399718,23,0,12,5,0
1,0,2045.870688295894,31,0,15,4,1
2,0,769.6471248449342,44,0,12,4,1
0,0,166.83468542125922,40,1,5,2,1
2,2,1985.1795180473996,64,1,6,1,1
4,1,2213.748483837937,18,1,7,5,1
3,0,994.1505234625018,45,1,1,3,1
3,4,2583.537333184679,59,1,6,3,1
3,2,1530.3550238937485,46,0,12,3,0
1,1,1896.4973972450416,26,0,17,5,0
3,2,850.6638901273702,35,1,15,4,1
4,3,847.7882217381407,69,0,18,3,0
4,3,2162.977154093994,32,1,11,5,1
3,1,457.6927626898008,61,0,8,1,0
1,0,791.0349147478122,32,0,19,3,0
3,2,1727.7385180541205,34,1,10,2,1
4,4,2136.580826746863,69,0,8,4,1
2,0,2451.676706112773,37,0,9,4,1
2,1,2616.6913695825283,21,0,14,3,0
1,2,645.6150711321427,55,1,15,2,1
4,3,1373.160535475556,53,0,1,1,0
4,1,1153.4002420653123,42,0,5,4,1
1,1,1599.635101923274,54,1,7,3,1
4,2,1278.0812607884836,48,1,15,1,1
3,1,172.29441224216515,62,0,8,5,1
1,4,894.8687041565017,26,0,11,3,0
4,1,2360.2951089290123,25,0,8,3,0
3,1,475.3912834293143,42,0,11,3,0
0,0,960.8979209216362,39,1,13,4,1
3,4,1233.3854231339928,66,0,2,1,0
0,0,1402.167716515782,50,1,16,1,1
4,0,2654.5275051393173,64,1,8,3,1
3,3,2345.797498995667,50,0,1,4,1
2,0,2590.9831292542103,38,1,14,2,1
4,2,2725.79866547878,25,1,5,1,0
4,3,554.3794129097288,31,1,13,3,1
4,3,508.8383286559444,39,1,9,5,1
0,2,2607.099575617045,44,0,4,1,0
2,0,512.4544032643835,49,1,1,2,1
4,2,2033.4904627674655,25,0,7,4,0
3,0,566.6155691999892,19,0,6,1,0
0,1,682.6344490298068,26,1,16,5,1
4,0,449.2370009697059,61,1,12,1,1
2,1,1030.8200896500125,46,1,13,3,1
4,1,495.9091866947243,58,0,4,4,1
4,1,2056.7242210956583,50,0,5,4,1
2,0,699.4812075200846,64,0,7,5,1
2,4,782.1451389974263,60,0,4,2,0
1,4,2354.959897721753,53,0,12,1,0
4,0,1951.7889101903363,37,0,9,2,0
4,2,2928.95426934274,27,1,3,2,0
2,1,1273.7253544627702,62,0,17,2,0
3,0,2076.7650229655314,21,0,14,2,0
2,2,192.2194823910664,20,0,6,3,0
2,3,160.41747122841429,64,1,2,3,1
4,4,2939.0572227614507,48,0,12,3,0
2,1,630.7291873072446,44,0,2,2,0
1,2,2254.203781176405,60,0,9,3,0
3,1,1156.98250418379,62,0,9,2,0
1,2,407.0971720874442,64,0,3,4,1
0,2,918.252687064755,55,1,3,5,1
4,3,449.1831614399831,42,1,7,1,1
0,0,2054.19374268376,39,0,11,3,0
1,3,2972.530904953593,47,0,8,5,1
1,3,2218.9307776758938,56,1,6,4,1
1,0,636.6431739211715,25,1,4,5,1
2,2,505.1087251729977,68,0,1,1,0
2,2,134.09212869961712,25,0,4,2,0
0,1,1554.182605486334,60,0,19,3,0
4,1,2761.0980862060846,59,1,13,4,1
3,0,1809.620542582138,58,1,18,2,1
0,2,1350.069771182638,44,0,4,4,1
2,3,433.6518902603583,30,1,19,5,1
3,4,2162.2163689134386,23,1,11,3,0
4,4,377.1755792638701,58,0,11,4,1
3,0,350.7867700409621,22,1,4,5,1
0,0,2339.676110778448,39,1,12,3,1
0,3,2075.6100830332543,52,1,8,4,1
3,0,1696.1538619346688,39,0,3,1,0
4,2,2541.089235406841,24,0,9,5,0
3,0,2877.6461952608665,26,0,7,2,0
2,2,397.1420867801346,39,0,1,4,1
4,2,1515.9082269620951,52,0,4,4,1
2,3,1657.609325622407,62,0,13,4,1
4,2,1535.137390392275,29,1,12,3,0
1,3,1167.292847176909,30,0,8,5,0
2,1,649.9493172519371,31,0,8,4,1
4,2,942.4437280659806,41,1,12,1,1
2,3,1068.9130272919751,59,0,2,2,0
2,4,2081.873357906954,41,1,7,3,1
2,1,2083.486158298613,60,1,17,3,1
3,3,2057.2394430117165,41,1,10,1,1
0,1,1837.3463302332973,41,1,4,2,1
3,1,1419.2315220326475,29,1,12,3,0
2,4,265.50803127741733,45,0,2,1,0
0,2,2267.935645747988,25,1,14,1,0
0,1,693.180802099734,33,0,7,1,0
0,0,1020.7774723526028,56,1,2,4,1
0,1,226.78738929161915,42,1,10,3,1
3,3,1447.0196758781087,45,0,1,3,0
0,4,2215.139164639407,41,1,3,2,1
1,3,1989.679970160426,29,0,16,2,0
3,0,335.39973318635725,63,0,1,1,0
4,0,2419.06767143378,41,0,10,4,1
1,0,1403.6666708236671,31,1,13,2,1
4,1,1405.8985522627183,64,1,15,4,1
4,3,1438.2019197062575,33,1,4,2,1
2,4,2175.722646356347,66,0,13,3,0
0,3,1436.5981232655524,32,1,15,3,1
1,3,974.49241362296,53,0,13,3,0
1,4,1090.439415168591,53,0,7,1,0
0,3,2886.335936753871,43,0,15,4,1
2,2,1900.39039849552,20,0,8,3,0
1,2,2149.34071895314,40,0,5,3,0
0,4,1818.779439288612,68,1,5,4,1
4,2,1650.219068167483,50,0,7,3,0
4,3,902.1489092167732,20,1,16,5,1
3,3,1628.4461936020407,54,0,12,2,0
0,2,2168.13240534444,23,1,17,5,1
4,3,534.1240195700052,68,0,5,5,1
1,2,1056.9051013656083,64,1,18,5,1
4,0,2822.53036588809,19,0,9,2,0
0,0,1346.134447419246,23,1,19,5,1
4,3,398.6051984910998,62,1,11,5,1
3,2,1763.149497251699,30,1,11,4,1
1,4,2238.3404694037185,62,1,10,3,1
0,3,1676.627248733959,55,0,17,2,0
4,3,2468.245008584605,37,1,9,4,1
2,2,2155.691642263731,60,0,10,1,0
3,0,2310.2192161387065,19,1,1,5,1
3,0,2680.876275348828,67,0,12,5,1
4,0,1835.2344215286028,23,1,19,1,0
3,1,1182.68236438366,65,1,13,2,1
0,2,1989.8388065243455,23,0,1,2,0
4,4,2016.421818494461,46,0,11,2,0
4,1,2738.299276888544,20,1,14,2,0
3,3,707.2084584446043,59,0,16,5,1
2,2,1269.9084377282322,24,0,10,2,0
0,2,595.3077727443463,47,0,6,1,0
2,2,2336.4076815536646,21,0,11,2,0
1,2,2435.881654080437,65,0,5,5,1
0,4,550.9080080153301,33,1,2,3,1
3,0,2154.082015771507,25,1,14,3,0
1,4,1589.908949249493,20,1,8,5,1
2,2,111.42119531182902,40,1,10,2,1
2,4,285.88205231323525,34,1,5,5,1
4,2,602.8788074703107,49,1,17,3,1
2,4,2175.7713598917094,45,1,18,1,1
3,3,2599.2217418175555,41,0,8,5,1
4,2,2300.9846806361693,22,0,7,5,0
1,1,760.7689965512374,40,0,17,3,0
0,3,2303.281663668615,50,0,5,5,1
1,0,1512.7394358281356,24,0,14,5,0
0,4,876.776063198145,34,0,16,1,0
4,2,977.4830450420316,20,0,18,5,0
3,4,631.6852750267647,53,0,15,3,0
2,3,1810.216601877724,54,1,19,5,1
1,0,708.4235413879522,62,0,14,5,1
4,1,2404.116897073012,53,0,10,1,0
2,4,526.2010290613072,56,1,15,5,1
2,1,1629.1220316542508,51,0,10,1,0
4,0,2114.89386132382,52,1,15,3,1
2,0,1618.3996479154737,33,0,6,5,1
1,4,1318.09832106637,40,0,10,2,0
0,3,763.4244183361974,62,0,17,1,0
3,4,701.4898204054525,56,1,10,4,1
1,1,819.2435066677806,69,0,5,3,0
2,4,1042.1551714696095,51,1,9,1,1
1,0,2364.456144844595,21,0,16,1,0
4,0,1540.7676721439766,49,0,16,1,0
3,1,2865.252702376855,41,0,8,4,1
3,4,2933.4830417728544,65,0,18,4,1
2,0,1207.6677330634789,33,0,10,4,1
3,3,1343.1785521137351,64,0,11,2,0
2,0,2625.678461740334,23,1,16,3,0
2,3,2194.7439384106106,18,1,4,5,1
4,3,461.5562942438237,66,1,7,1,1
2,0,364.1049776553716,43,0,9,3,0
0,3,1342.2042896992157,29,0,2,5,0
4,4,504.6412301608637,54,0,17,4,1
3,3,2970.039133482102,67,0,1,5,1
1,4,2518.457767394017,54,1,13,3,1
0,3,1165.8483055786642,26,0,2,1,0
3,2,268.41544846602403,63,0,19,1,0
4,4,753.0747969534934,47,1,16,5,1
0,1,1107.8165443475243,49,0,17,2,0
1,4,333.41927036551124,40,0,19,3,0
0,4,1820.8433264854168,59,0,14,5,1
1,1,2029.8676176694144,48,1,6,5,1
2,4,2263.756222291574,48,1,8,4,1
4,2,705.0894410382987,44,0,15,5,1
1,4,274.7118672680839,41,0,9,5,1
0,2,881.7772059980948,41,0,17,4,1
2,4,444.4265942065725,62,0,14,4,1
0,4,2385.7349288037967,35,1,17,4,1
3,4,1236.3764205375062,45,0,3,2,0
2,3,950.981757220644,19,0,6,3,0
2,4,953.0646320662312,41,1,13,2,1
3,1,1729.7929038199425,45,0,7,1,0
0,3,277.5818480040744,53,0,3,3,0
3,0,2488.351000065621,40,0,16,1,0
3,2,2381.6980224639947,26,1,18,4,1
2,1,587.2572728729897,25,1,16,1,0
1,1,2640.837465954356,23,1,1,1,0
1,0,1570.7914313501678,55,1,4,1,1
4,2,2612.938681891232,40,0,9,1,0
0,2,2481.798460756642,52,1,11,3,1
2,2,2326.836419050882,26,1,11,1,0
1,4,1503.782045294022,23,0,17,1,0
0,3,2797.409692059398,43,1,13,2,1
2,0,765.5665036378684,68,0,7,2,0
1,1,603.5325312107362,59,1,18,1,1
2,3,634.5574450445882,30,0,8,1,0
2,3,327.22449726696067,32,0,8,4,1
1,0,868.926323370898,52,1,3,5,1
0,2,2001.2387152762508,56,1,14,2,1
2,4,1292.8880267982652,20,0,15,2,0
3,1,2927.189083972668,67,1,9,2,1
3,3,2543.570428077705,53,0,1,4,1
4,3,2887.14512518388,68,0,19,2,0
1,2,949.023002061148,58,1,15,4,1
0,1,2585.227171339677,64,0,13,2,0
0,4,2635.607160986828,69,0,7,5,1
1,1,1998.621153724874,29,0,15,2,0
2,4,1865.589284635605,50,0,19,4,1
3,2,1665.892573803653,33,1,9,3,1
1,0,2619.9298693783107,54,0,10,4,1
1,3,2585.3360227488074,49,0,19,5,1
1,1,398.55665184209033,51,1,14,4,1
1,1,1721.3136335258346,35,0,18,3,0
0,2,393.8278754249798,35,1,5,1,1
1,0,1073.607070783031,63,1,19,4,1
3,4,319.3982563579408,20,0,6,3,0
4,0,1648.8308887941844,68,0,6,2,0
0,1,389.8152869581818,38,0,6,3,0
3,4,1903.034770195347,63,0,12,2,0
0,1,2163.1222759483,66,0,18,1,0
0,0,853.746103332776,26,0,3,4,0
2,0,1800.979900953905,48,0,12,1,0
0,3,767.3735583050833,31,1,8,4,1
2,0,2789.4415163741774,65,1,15,3,1
2,0,2970.731755283313,35,1,11,3,1
4,4,320.7714622792374,44,1,15,4,1
0,3,1482.0200350584896,63,1,2,3,1
4,2,1654.105601857498,57,0,12,3,0
4,2,2434.215452766214,21,1,19,5,1
0,0,310.05983651269366,47,1,12,4,1
1,3,2903.279391407513,65,0,13,5,1
1,4,2126.593420039517,28,1,10,3,0
2,1,2692.5118791976183,27,1,2,4,1
3,4,323.5309343956402,22,1,12,1,0
1,3,2426.4867631031584,51,0,6,1,0
3,0,458.4662580091064,22,0,17,4,0
1,1,181.2158140952848,21,1,7,2,0
0,1,922.6227292634352,60,1,10,3,1
1,4,2050.612293911496,61,0,8,1,0
2,2,2780.091003325794,45,1,11,1,1
2,3,1405.2585167397738,67,1,8,5,1
3,0,1658.1004663213907,40,1,14,4,1
1,3,1537.39573743584,36,0,18,5,1
3,2,169.30452048361508,24,0,11,1,0
1,3,883.9186236703348,45,1,9,1,1
4,2,2488.8959549930223,22,1,18,1,0
3,1,1729.4395097448491,18,0,15,1,0
4,1,2628.129852899323,45,0,19,4,1
3,4,2968.631646031318,19,0,5,5,0
4,2,1815.216519463156,42,1,16,3,1
1,0,1140.3981362056636,46,0,6,5,1
0,4,245.17334499825117,50,1,2,2,1
4,3,2971.777534169055,60,1,12,2,1
4,4,1713.509688324073,61,0,7,3,0
3,1,1378.634050123721,57,0,5,2,0
3,1,2765.5716012471244,30,1,6,1,0
0,1,118.10047817071424,37,0,18,2,0
0,0,2840.807438679328,20,1,13,1,0
4,2,532.2261429652485,29,1,12,1,0
1,4,765.0498683452181,42,0,3,5,1
2,2,2681.241220076091,22,1,7,2,0
3,1,888.9914670252533,21,0,5,3,0
1,4,243.98132336918164,51,1,14,5,1
2,1,1173.154972188903,63,1,14,3,1
2,4,888.6162881692941,24,1,5,1,0
0,3,570.4104609009344,20,1,9,2,0
2,4,2967.85982526005,66,1,13,2,1
3,3,914.4875610678572,54,0,12,4,1
3,0,2186.2000107289923,18,1,5,4,1
1,4,2495.7291633203067,65,0,12,5,1
2,4,213.60465788036385,49,1,10,5,1
3,1,1769.8635212390489,65,1,6,5,1
2,2,2434.148845434689,61,0,6,3,0
0,1,103.8762782375133,69,1,15,1,1
4,3,2080.605141413361,62,0,19,2,0
2,4,2769.4932467437065,57,0,10,5,1
3,0,2872.931206597611,45,0,5,3,0
1,1,131.44574655448312,65,0,15,5,1
2,0,2569.004326731065,46,0,12,2,0
4,2,2007.045811593143,59,1,9,3,1
1,2,307.1541254795675,53,0,10,2,0
1,1,1564.1156407397914,24,0,12,5,0
0,1,1358.1069708421,41,0,1,5,1
4,2,1319.2228344095174,26,1,11,5,1
0,4,867.6089968188759,57,0,4,4,1
4,0,1189.7671776441016,41,0,14,3,0
2,3,308.399493388702,37,1,16,5,1
1,3,466.1715059732082,56,0,19,3,0
1,0,1648.614412716157,39,0,4,3,0
0,2,1954.7344888441185,36,1,5,3,1
3,3,1961.0026296722128,68,0,3,2,0
1,0,188.00951758947895,52,1,12,3,1
3,4,257.521986659243,58,0,2,5,1
0,4,2545.5949712984684,53,1,1,2,1
0,4,940.5228522988224,53,1,17,4,1
1,3,2492.800115628167,37,1,7,3,1
2,1,107.22188645074188,27,0,12,4,0
4,2,308.1007558724797,37,0,14,3,0
3,3,483.1317343007047,46,0,15,3,0
2,3,642.1473747256771,27,0,6,1,0
2,2,1788.2213324781458,35,1,19,3,1
3,2,1527.9412247417408,45,0,18,3,0
4,4,348.1005537072913,44,1,19,4,1
0,1,2423.59628406078,46,0,17,4,1
2,2,962.5987463068274,20,1,9,3,0
0,2,2850.895334277343,24,1,17,4,1
2,1,2364.9059076539056,55,0,3,4,1
1,0,1956.721517428755,65,1,6,2,1
3,3,466.58683845860975,48,0,9,5,1
2,0,401.5521646873811,56,1,1,2,1
2,2,403.8023457583342,32,1,2,2,1
4,0,653.5988729927702,28,1,16,4,1
4,0,2651.6461757471343,66,0,4,5,1
0,0,1181.353799035071,32,0,19,2,0
1,0,1318.1939995467806,29,1,9,3,0
1,2,2134.79191751893,69,1,7,4,1
4,3,1155.4399555524574,36,1,19,3,1
0,1,1461.5907081182747,24,0,13,1,0
2,3,2547.779854272618,56,1,12,3,1
3,4,1174.4831797453724,56,0,13,3,0
0,1,1904.7478752030197,33,0,15,2,0
0,3,2861.416812041751,50,1,13,4,1
0,2,2899.491528903847,62,0,12,1,0
0,4,391.298944418414,45,1,10,5,1
2,0,2519.309876091541,67,0,5,4,1
3,1,705.3542391904319,67,1,10,4,1
2,1,2043.04842069156,34,0,4,2,0
3,1,664.7602828875301,59,1,18,4,1
4,1,1366.617402610803,52,0,5,3,0
4,2,2721.3279437864667,40,1,6,1,1
3,2,1139.83717771509,29,1,8,5,1
3,1,1829.259395370413,44,1,9,2,1
3,3,1718.3581210556708,33,1,8,3,1
2,3,2714.6552809022296,61,1,16,2,1
2,4,933.9877461457808,63,0,3,1,0
0,1,2904.2092014303703,24,1,18,3,0
0,3,1353.7595284477425,30,0,16,4,0
0,1,696.692833539274,26,0,7,1,0
1,4,1480.4548953450685,20,0,2,2,0
3,3,840.1707600777861,60,0,6,1,0
0,1,2152.7185150512555,19,1,17,5,1
3,1,872.7443440883635,34,1,2,5,1
2,1,692.9030156722631,39,1,3,4,1
3,4,2202.0092195454404,35,1,2,4,1
4,4,2291.1274945875266,37,1,1,5,1
0,3,1082.8839147360643,59,1,12,3,1
1,0,1754.3799334917787,69,1,1,5,1
3,2,613.3425847653285,49,0,9,4,1
4,2,863.1599789644708,63,1,19,3,1
0,4,199.4310054216802,51,0,13,3,0
0,1,1697.4036618257658,49,0,12,1,0
2,1,105.33866349151518,18,1,8,3,0
4,0,665.34967654111,67,1,18,4,1
4,1,2767.56236407003,43,1,3,2,1
1,2,203.06958661120711,31,0,17,5,1
2,4,753.1575704675381,50,1,2,1,1
3,2,2950.340433496768,45,0,15,1,0
4,2,2539.140644447797,21,0,12,2,0
4,3,726.3690418930067,60,1,2,2,1
